datetime,type,entry_price,exit_price,return_pct,cumulative_return,drawdown
2025-06-12 16:30:00+00:00,CALL,602.8300170898438,597.969970703125,-0.81,0.9919,0.0
2025-06-16 17:30:00+00:00,CALL,603.47998046875,601.6599731445312,-0.3,0.9889243,-0.0030000000000000027
2025-06-17 13:30:00+00:00,PUT,600.4299926757812,598.8699951171875,0.26,0.9914955031799999,-0.0004078000000000692
2025-06-17 16:45:00+00:00,PUT,600.5499877929688,600.7708129882812,-0.04,0.991098904978728,-0.0008076368799999623
2025-06-18 18:00:00+00:00,PUT,598.6199951171875,596.2999877929688,0.39,0.994964190708145,0.0
2025-06-18 18:55:00+00:00,PUT,597.22998046875,595.4299926757812,0.3,0.9979490832802693,0.0
2025-06-18 19:50:00+00:00,PUT,597.5700073242188,593.489990234375,0.68,1.0047351370465751,0.0
2025-06-20 17:25:00+00:00,PUT,593.5549926757812,597.4600219726562,-0.66,0.9981038851420677,-0.00660000000000005
2025-06-20 18:55:00+00:00,PUT,593.5999755859375,593.2999877929688,0.05,0.9986029370846387,-0.006103300000000145
2025-06-23 19:55:00+00:00,CALL,600.1199951171875,606.610107421875,1.08,1.0093878488051526,0.0
2025-06-25 19:55:00+00:00,CALL,607.0800170898438,611.4500122070312,0.72,1.0166554413165498,0.0
2025-06-26 19:55:00+00:00,CALL,611.8800048828125,615.3900146484375,0.57,1.0224503773320541,0.0
2025-07-01 19:45:00+00:00,CALL,618.47998046875,619.47998046875,0.16,1.0240862979357854,0.0
2025-07-02 19:55:00+00:00,CALL,620.3699951171875,622.9600219726562,0.42,1.0283874603871157,0.0
2025-07-08 15:45:00+00:00,CALL,620.9299926757812,620.3099975585938,-0.1,1.0273590729267286,-0.0010000000000000009
2025-07-09 13:30:00+00:00,CALL,623.52001953125,622.3599853515625,-0.19,1.0254070906881678,-0.0028981000000000146
2025-07-10 17:20:00+00:00,CALL,626.159912109375,623.7100219726562,-0.39,1.0214080030344839,-0.0067867974100001005
2025-07-14 16:50:00+00:00,CALL,624.3900146484375,625.3900146484375,0.16,1.023042255839339,-0.0051976562858561115
2025-07-15 13:30:00+00:00,CALL,626.9091186523438,624.0900268554688,-0.45,1.0184385656880621,-0.009674266832569667
2025-07-16 18:35:00+00:00,CALL,623.7449951171875,626.8298950195312,0.49,1.0234289146599336,-0.004821670740049244
2025-07-18 13:30:00+00:00,CALL,628.8920288085938,627.2000122070312,-0.27,1.0206656565903518,-0.0075086522290510604
2025-07-18 19:50:00+00:00,CALL,627.5399780273438,631.4550170898438,0.62,1.026993783661212,-0.0013552058728711902
2025-07-22 19:35:00+00:00,CALL,629.469970703125,631.7449951171875,0.36,1.0306909612823925,0.0
2025-07-23 13:30:00+00:00,CALL,631.1099853515625,632.7249755859375,0.26,1.0333707577817266,0.0
2025-07-23 15:50:00+00:00,CALL,631.760009765625,634.6199951171875,0.45,1.0380209261917444,0.0
2025-07-23 17:40:00+00:00,CALL,632.7249755859375,635.6389770507812,0.46,1.0427958224522262,0.0
2025-07-23 19:55:00+00:00,CALL,634.1599731445312,635.4400024414062,0.2,1.0448814140971308,0.0
2025-07-24 17:10:00+00:00,CALL,635.8350219726562,635.905029296875,0.01,1.0449859022385404,0.0
2025-07-24 18:00:00+00:00,CALL,635.6900024414062,635.6599731445312,-0.0,1.0449859022385404,0.0
2025-07-25 16:10:00+00:00,CALL,636.3306884765625,637.2849731445312,0.15,1.0465533810918983,0.0
2025-07-30 18:30:00+00:00,CALL,637.3099975585938,637.780029296875,0.07,1.0472859684586626,0.0
2025-08-04 19:20:00+00:00,CALL,630.6400146484375,628.9299926757812,-0.27,1.0444582963438243,-0.0026999999999999247
2025-08-06 19:30:00+00:00,CALL,633.3150024414062,630.6099853515625,-0.43,1.0399671256695457,-0.0069883900000000665
2025-08-07 13:30:00+00:00,CALL,636.7100219726562,630.469970703125,-0.98,1.0297754478379841,-0.016719903778000145
2025-08-12 13:30:00+00:00,CALL,639.3800048828125,641.7849731445312,0.38,1.0336885945397685,-0.012983439412356468
2025-08-13 13:30:00+00:00,CALL,645.1599731445312,642.89501953125,-0.35,1.0300706844588794,-0.016437997374413094
2025-08-13 19:50:00+00:00,CALL,644.7999877929688,644.844970703125,0.01,1.0301736915273252,-0.016339641174150654
2025-08-20 17:30:00+00:00,CALL,637.47998046875,635.530029296875,-0.31,1.0269801530835905,-0.01938898828651081
2025-08-22 13:30:00+00:00,CALL,637.6699829101562,646.2249145507812,1.34,1.0407416871349107,-0.00624880072955003
2025-08-26 17:25:00+00:00,CALL,643.510009765625,646.3900146484375,0.45,1.0454250247270178,-0.001776920332832943
2025-08-26 18:15:00+00:00,CALL,643.4600830078125,646.5418090820312,0.48,1.0504430648457075,0.0
2025-08-28 13:30:00+00:00,CALL,647.8098754882812,648.3599853515625,0.08,1.051283419297584,0.0
2025-08-29 19:55:00+00:00,CALL,644.989990234375,638.72998046875,-0.97,1.0410859701303974,-0.009700000000000042
2025-09-04 17:50:00+00:00,CALL,647.3499755859375,645.8400268554688,-0.23,1.0386914723990974,-0.01197769000000004
2025-09-04 19:05:00+00:00,CALL,647.8099975585938,645.5999755859375,-0.34,1.0351599213929406,-0.015336965854000018
2025-09-04 19:50:00+00:00,CALL,648.6799926757812,645.9998779296875,-0.41,1.0309157657152295,-0.01937408429399856
