Datetime,"('close', 'spy')","('high', 'spy')","('low', 'spy')","('open', 'spy')","('volume', 'spy')"
2025-11-07 14:30:00+00:00,666.2899780273438,667.97998046875,666.1900024414062,667.9099731445312,5164547
2025-11-07 14:35:00+00:00,664.5,666.4000244140625,664.385009765625,666.280029296875,2547323
2025-11-07 14:40:00+00:00,665.4302978515625,665.7899780273438,664.3499755859375,664.5,2206168
2025-11-07 14:45:00+00:00,664.875,666.0800170898438,664.864990234375,665.4500122070312,1658926
2025-11-07 14:50:00+00:00,666.094970703125,666.4199829101562,664.780029296875,664.8900146484375,1795507
2025-11-07 14:55:00+00:00,666.25,666.8350219726562,665.7100219726562,666.0750122070312,1166830
2025-11-07 15:00:00+00:00,665.0,666.4600219726562,664.8599853515625,666.1599731445312,1295642
2025-11-07 15:05:00+00:00,665.77001953125,665.8455810546875,663.969970703125,665.02001953125,1696591
2025-11-07 15:10:00+00:00,666.530029296875,666.6400146484375,665.6400146484375,665.77001953125,1015312
2025-11-07 15:15:00+00:00,666.4400024414062,667.219970703125,665.97998046875,666.5399780273438,1359030
2025-11-07 15:20:00+00:00,665.5499877929688,667.0399780273438,665.4500122070312,666.4400024414062,1061093
2025-11-07 15:25:00+00:00,665.9299926757812,666.8499755859375,665.52001953125,665.5700073242188,1015662
2025-11-07 15:30:00+00:00,665.27001953125,666.3099975585938,665.22998046875,665.9149780273438,1061196
2025-11-07 15:35:00+00:00,664.719970703125,666.0499877929688,664.6300048828125,665.2550048828125,1171239
2025-11-07 15:40:00+00:00,664.239990234375,665.1599731445312,664.1500244140625,664.7000122070312,1204287
2025-11-07 15:45:00+00:00,663.9500122070312,664.4000244140625,663.5599975585938,664.239990234375,1612467
2025-11-07 15:50:00+00:00,663.989990234375,664.739990234375,663.75,663.9600219726562,1135530
2025-11-07 15:55:00+00:00,663.3300170898438,663.97998046875,663.2899780273438,663.969970703125,1086352
2025-11-07 16:00:00+00:00,663.719970703125,664.030029296875,663.219970703125,663.3200073242188,1334184
2025-11-07 16:05:00+00:00,663.2399291992188,664.0,663.1199951171875,663.7100219726562,1155190
2025-11-07 16:10:00+00:00,662.760009765625,663.5,662.6300048828125,663.239990234375,1338706
2025-11-07 16:15:00+00:00,663.22998046875,663.2899780273438,662.25,662.739990234375,1551148
2025-11-07 16:20:00+00:00,663.114990234375,663.8300170898438,663.0800170898438,663.22998046875,1161574
2025-11-07 16:25:00+00:00,662.8250122070312,663.1900024414062,662.6799926757812,663.1199951171875,736974
2025-11-07 16:30:00+00:00,663.2750244140625,663.3400268554688,662.6599731445312,662.8200073242188,1031119
2025-11-07 16:35:00+00:00,662.5549926757812,663.3699951171875,662.3800048828125,663.280029296875,722667
2025-11-07 16:40:00+00:00,663.2100219726562,663.2949829101562,662.1900024414062,662.5499877929688,1028862
2025-11-07 16:45:00+00:00,662.5599975585938,663.3499755859375,662.3099975585938,663.2000122070312,776813
2025-11-07 16:50:00+00:00,662.4600219726562,663.3300170898438,662.4199829101562,662.5599975585938,753092
2025-11-07 16:55:00+00:00,661.9749755859375,662.6099853515625,661.3300170898438,662.4600219726562,1185079
2025-11-07 17:00:00+00:00,661.6300048828125,662.1900024414062,661.5700073242188,661.969970703125,877633
2025-11-07 17:05:00+00:00,661.7999877929688,662.030029296875,661.2050170898438,661.6599731445312,1055457
2025-11-07 17:10:00+00:00,662.5599975585938,662.6898803710938,661.4299926757812,661.7899780273438,1048298
2025-11-07 17:15:00+00:00,662.9600219726562,663.125,662.4849853515625,662.5700073242188,631606
2025-11-07 17:20:00+00:00,663.8400268554688,664.169921875,662.7100219726562,662.97998046875,748118
2025-11-07 17:25:00+00:00,663.5750122070312,664.2750244140625,663.3900146484375,663.8300170898438,834527
2025-11-07 17:30:00+00:00,663.739990234375,664.0499877929688,663.4199829101562,663.52001953125,569052
2025-11-07 17:35:00+00:00,663.22998046875,663.9249877929688,662.9199829101562,663.7449951171875,626942
2025-11-07 17:40:00+00:00,663.1199951171875,663.4199829101562,662.7000122070312,663.2000122070312,782855
2025-11-07 17:45:00+00:00,662.3499755859375,663.47998046875,662.2899780273438,663.1099853515625,617798
2025-11-07 17:50:00+00:00,662.8800048828125,662.9400024414062,662.010009765625,662.3656005859375,828246
2025-11-07 17:55:00+00:00,663.9400024414062,664.010009765625,662.8300170898438,662.8699951171875,668100
2025-11-07 18:00:00+00:00,664.0599975585938,664.3400268554688,663.8300170898438,663.9400024414062,530290
2025-11-07 18:05:00+00:00,664.260009765625,664.530029296875,663.5800170898438,664.0399780273438,583176
2025-11-07 18:10:00+00:00,664.510009765625,664.6749877929688,664.0499877929688,664.260009765625,604481
2025-11-07 18:15:00+00:00,664.5800170898438,664.6799926757812,664.0,664.510009765625,507278
2025-11-07 18:20:00+00:00,665.1500244140625,665.1599731445312,664.4400024414062,664.5900268554688,703057
2025-11-07 18:25:00+00:00,665.3099975585938,665.5750122070312,665.0598754882812,665.1599731445312,696641
2025-11-07 18:30:00+00:00,665.27001953125,665.6599731445312,665.22998046875,665.2999877929688,704093
2025-11-07 18:35:00+00:00,665.9749755859375,666.0,664.9600219726562,665.2899780273438,611464
2025-11-07 18:40:00+00:00,665.72998046875,666.0900268554688,665.6099853515625,665.97998046875,495499
2025-11-07 18:45:00+00:00,664.8411865234375,665.9299926757812,664.6900024414062,665.72998046875,930390
2025-11-07 18:50:00+00:00,664.8588256835938,664.864990234375,664.219970703125,664.864990234375,615983
2025-11-07 18:55:00+00:00,665.614990234375,666.02001953125,664.8200073242188,664.8499755859375,592065
2025-11-07 19:00:00+00:00,665.9000244140625,666.25,665.2000122070312,665.6099853515625,510705
2025-11-07 19:05:00+00:00,666.02001953125,666.3200073242188,665.7100219726562,665.9000244140625,524633
