"('datetime', '')","('close', 'spy')","('high', 'spy')","('low', 'spy')","('open', 'spy')","('volume', 'spy')"
2025-11-07 14:30:00+00:00,666.5800170898438,667.97998046875,666.5700073242188,667.9099731445312,3527897
2025-11-07 14:31:00+00:00,666.5449829101562,666.719970703125,666.4299926757812,666.5899047851562,647590
2025-11-07 14:32:00+00:00,666.9600219726562,667.0499877929688,666.530029296875,666.5599975585938,438173
2025-11-07 14:33:00+00:00,666.2949829101562,666.989990234375,666.2949829101562,666.9500122070312,296709
2025-11-07 14:34:00+00:00,666.2899780273438,666.6699829101562,666.1900024414062,666.2949829101562,254178
2025-11-07 14:35:00+00:00,666.3109741210938,666.4000244140625,666.1500244140625,666.280029296875,345021
2025-11-07 14:36:00+00:00,665.614990234375,666.3300170898438,665.5999755859375,666.3300170898438,426793
2025-11-07 14:37:00+00:00,664.8499755859375,665.6900024414062,664.8400268554688,665.6099853515625,601109
2025-11-07 14:38:00+00:00,664.8599853515625,665.239990234375,664.6300048828125,664.8599853515625,683595
2025-11-07 14:39:00+00:00,664.5,665.0,664.385009765625,664.8699951171875,490725
2025-11-07 14:40:00+00:00,665.0250244140625,665.1799926757812,664.3499755859375,664.5,604399
2025-11-07 14:41:00+00:00,665.2301025390625,665.3699951171875,664.6749877929688,665.02001953125,453806
2025-11-07 14:42:00+00:00,664.8699951171875,665.4400024414062,664.8084716796875,665.239990234375,442789
2025-11-07 14:43:00+00:00,665.7249755859375,665.780029296875,664.8599853515625,664.8599853515625,431021
2025-11-07 14:44:00+00:00,665.4302978515625,665.7899780273438,665.280029296875,665.719970703125,274233
2025-11-07 14:45:00+00:00,665.9400024414062,666.0499877929688,665.3300170898438,665.4500122070312,458311
2025-11-07 14:46:00+00:00,665.1599731445312,666.0800170898438,665.0900268554688,665.9299926757812,292466
2025-11-07 14:47:00+00:00,665.239990234375,665.760009765625,665.1058959960938,665.1300048828125,299857
2025-11-07 14:48:00+00:00,665.97998046875,666.0800170898438,665.0700073242188,665.219970703125,296437
