datetime,open,high,low,close,volume,ticker
2025-10-29 08:00:00,688.98,689.04,688.96,689.02,7518.0,spy
2025-10-29 08:01:00,688.95,689.01,688.95,689.0,1949.0,spy
2025-10-29 08:02:00,689.05,689.16,689.05,689.16,1087.0,spy
2025-10-29 08:04:00,689.19,689.25,689.16,689.25,2309.0,spy
2025-10-29 08:05:00,689.15,689.15,689.11,689.12,4468.0,spy
2025-10-29 08:07:00,689.14,689.14,689.03,689.03,1709.0,spy
2025-10-29 08:09:00,689.11,689.22,689.11,689.22,2221.0,spy
2025-10-29 08:10:00,689.14,689.19,689.14,689.19,1755.0,spy
2025-10-29 08:12:00,689.04,689.04,689.04,689.04,364.0,spy
2025-10-29 08:13:00,689.11,689.11,689.11,689.11,491.0,spy
2025-10-29 08:14:00,689.04,689.04,689.04,689.04,640.0,spy
2025-10-29 08:17:00,689.23,689.25,689.23,689.25,1325.0,spy
2025-10-29 08:18:00,689.35,689.35,689.33,689.33,2375.0,spy
2025-10-29 08:19:00,689.45,689.45,689.45,689.45,565.0,spy
2025-10-29 08:20:00,689.43,689.43,689.43,689.43,407.0,spy
2025-10-29 08:21:00,689.33,689.33,689.33,689.33,383.0,spy
2025-10-29 08:22:00,689.25,689.26,689.25,689.26,839.0,spy
2025-10-29 08:23:00,689.14,689.16,689.14,689.16,552.0,spy
2025-10-29 08:24:00,689.11,689.11,689.11,689.11,329.0,spy
2025-10-29 08:25:00,689.06,689.06,688.95,688.95,1336.0,spy
2025-10-29 08:29:00,689.01,689.01,688.89,688.89,835.0,spy
2025-10-29 08:31:00,688.98,688.98,688.98,688.98,170.0,spy
2025-10-29 08:33:00,689.05,689.09,689.05,689.08,2205.0,spy
2025-10-29 08:34:00,689.02,689.02,689.02,689.02,721.0,spy
2025-10-29 08:35:00,688.92,688.92,688.92,688.92,711.0,spy
2025-10-29 08:36:00,688.83,688.83,688.81,688.81,808.0,spy
2025-10-29 08:37:00,688.68,688.68,688.65,688.65,1134.0,spy
2025-10-29 08:38:00,688.49,688.49,688.49,688.49,562.0,spy
2025-10-29 08:39:00,688.41,688.41,688.32,688.32,1555.0,spy
2025-10-29 08:40:00,688.37,688.37,688.36,688.37,1051.0,spy
2025-10-29 08:41:00,688.32,688.32,688.27,688.27,714.0,spy
2025-10-29 08:42:00,688.38,688.41,688.38,688.4,966.0,spy
2025-10-29 08:43:00,688.45,688.45,688.45,688.45,186.0,spy
2025-10-29 08:44:00,688.53,688.53,688.45,688.45,986.0,spy
2025-10-29 08:45:00,688.42,688.42,688.42,688.42,526.0,spy
2025-10-29 08:47:00,688.49,688.49,688.49,688.49,650.0,spy
2025-10-29 08:48:00,688.45,688.46,688.41,688.41,1192.0,spy
2025-10-29 08:49:00,688.35,688.38,688.35,688.38,774.0,spy
2025-10-29 08:50:00,688.34,688.42,688.34,688.39,1964.0,spy
2025-10-29 08:51:00,688.35,688.35,688.32,688.35,772.0,spy
2025-10-29 08:52:00,688.3,688.3,688.3,688.3,333.0,spy
2025-10-29 08:53:00,688.32,688.32,688.32,688.32,268.0,spy
2025-10-29 08:54:00,688.25,688.25,688.24,688.24,850.0,spy
2025-10-29 08:55:00,688.28,688.28,688.28,688.28,297.0,spy
2025-10-29 08:56:00,688.25,688.25,688.24,688.24,997.0,spy
2025-10-29 08:57:00,688.21,688.21,688.16,688.16,673.0,spy
2025-10-29 08:58:00,688.21,688.25,688.21,688.25,442.0,spy
2025-10-29 09:00:00,688.25,688.3,688.25,688.3,1827.0,spy
2025-10-29 09:01:00,688.22,688.22,688.22,688.22,448.0,spy
2025-10-29 09:02:00,688.21,688.21,688.21,688.21,520.0,spy
2025-10-29 09:06:00,688.22,688.22,688.22,688.22,705.0,spy
2025-10-29 09:09:00,688.19,688.19,688.19,688.19,256.0,spy
2025-10-29 09:10:00,688.0,688.11,688.0,688.11,713.0,spy
2025-10-29 09:12:00,687.95,687.98,687.85,687.89,2293.0,spy
2025-10-29 09:13:00,687.91,687.91,687.85,687.87,3174.0,spy
2025-10-29 09:14:00,687.78,687.92,687.78,687.92,968.0,spy
2025-10-29 09:15:00,687.8,687.8,687.8,687.8,632.0,spy
2025-10-29 09:16:00,687.89,687.9,687.88,687.88,1507.0,spy
2025-10-29 09:18:00,688.01,688.01,688.01,688.01,540.0,spy
2025-10-29 09:19:00,687.99,688.05,687.99,688.05,3165.0,spy
2025-10-29 09:20:00,688.08,688.12,688.08,688.12,427.0,spy
2025-10-29 09:22:00,687.99,687.99,687.99,687.99,498.0,spy
2025-10-29 09:23:00,687.86,687.86,687.86,687.86,484.0,spy
2025-10-29 09:24:00,687.99,687.99,687.99,687.99,353.0,spy
2025-10-29 09:25:00,687.94,687.99,687.94,687.98,10749.0,spy
2025-10-29 09:26:00,688.02,688.05,687.83,687.87,2411.0,spy
2025-10-29 09:27:00,687.95,687.95,687.95,687.95,525.0,spy
2025-10-29 09:28:00,687.96,687.96,687.9,687.9,1482.0,spy
2025-10-29 09:29:00,687.82,687.84,687.82,687.84,1130.0,spy
2025-10-29 09:31:00,687.84,687.9,687.82,687.82,2016.0,spy
2025-10-29 09:32:00,687.83,687.83,687.77,687.77,789.0,spy
2025-10-29 09:33:00,687.8,687.8,687.77,687.77,1459.0,spy
2025-10-29 09:34:00,687.8,687.8,687.76,687.76,1539.0,spy
2025-10-29 09:36:00,687.77,687.77,687.77,687.77,327.0,spy
2025-10-29 09:40:00,687.95,687.95,687.95,687.95,704.0,spy
2025-10-29 09:41:00,687.93,687.93,687.91,687.91,766.0,spy
2025-10-29 09:42:00,687.95,687.96,687.95,687.95,915.0,spy
2025-10-29 09:43:00,687.99,688.05,687.99,688.05,956.0,spy
2025-10-29 09:45:00,687.95,688.1,687.95,688.02,2443.0,spy
2025-10-29 09:47:00,687.98,687.98,687.98,687.98,928.0,spy
2025-10-29 09:48:00,688.01,688.01,687.94,687.94,2917.0,spy
2025-10-29 09:51:00,688.09,688.09,688.07,688.07,734.0,spy
2025-10-29 09:54:00,688.11,688.11,688.11,688.11,7737.0,spy
2025-10-29 09:55:00,688.06,688.11,688.06,688.1,12660.0,spy
2025-10-29 09:56:00,688.09,688.15,688.09,688.13,7242.0,spy
2025-10-29 09:59:00,688.1,688.14,688.1,688.14,987.0,spy
2025-10-29 10:01:00,688.11,688.11,688.0,688.0,1187.0,spy
